Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
Ford Motor Co,F,1996/11/4,7.4,500000000,2046/11/1,BB,AT MATURITY,USD,US,N
Walt Disney Co/The,DIS,2019/9/6,2.75,2000000000,2049/9/1,A-,CALLABLE,USD,US,N
Murphy Oil Corp,MUR,1999/5/4,7.05,250000000,2029/5/1,BB,AT MATURITY,USD,US,N
Centene Corp,CNC,2018/5/23,5.375,1800000000,2026/6/1,BB+,CALLABLE,USD,US,N
Altice France SA/France,SFRFP,2018/7/31,5.875,1170500000,2027/2/1,B,CALLABLE,EUR,FR,N
Electricite de France SA,EDF,2014/1/23,6,2243187000,2114/1/23,BBB+,AT MATURITY,GBP,FR,N
KWG Group Holdings Ltd,KWGPRO,2019/3/1,7.875,700000000,2023/9/1,NR,CALLABLE,USD,KY,N
Avaya Holdings Corp,AVYA,2018/6/11,2.25,350000000,2023/6/15,NR,CONVERTIBLE,USD,US,N
Alphabet Inc,GOOGL,2020/8/5,0.8,1000000000,2027/8/15,AA,CALLABLE,USD,US,N
Lowe's Cos Inc,LOW,2020/10/22,3,1750000000,2050/10/15,BBB+,CALLABLE,USD,US,N
Citigroup Inc,C,2020/3/31,4.412,4000000000,2031/3/31,A-,CALLABLE,USD,US,N
CNO Financial Group Inc,CNO,2019/6/12,5.25,500000000,2029/5/30,BBB-,CALLABLE,USD,US,N
Indian Railway Finance Corp Ltd,INRCIN,2021/2/10,2.8,750000000,2031/2/10,BBB-,AT MATURITY,USD,IN,N
Ferrari NV,RACE,2020/5/27,1.5,713368500,2025/5/27,#N/A N/A,AT MATURITY,EUR,NL,N
Goldman Sachs Group Inc/The,GS,2017/9/26,0.079,2650995000,2023/9/26,A-,CALLABLE,EUR,US,N
Goldman Sachs Group Inc/The,GS,2014/3/3,4,3000000000,2024/3/3,A-,AT MATURITY,USD,US,N
Global Payments Inc,GPN,2021/2/26,1.2,1100000000,2026/3/1,#N/A N/A,CALLABLE,USD,US,N
Cemex SAB de CV,CEMEX,2020/9/17,5.2,1000000000,2030/9/17,BB-,CALLABLE,USD,MX,N
Erste Group Bank AG,ERSTBK,2021/1/25,0.25,607230000,2031/1/27,A,AT MATURITY,EUR,AT,N
Sixt SE,SIXGR,2020/12/9,1.75,362172000,2024/12/9,#N/A N/A,CALLABLE,EUR,DE,N
Standard Chartered PLC,STANLN,2020/11/18,3.265,1250000000,2036/2/18,BBB,CALLABLE,USD,GB,N
BNP Paribas SA,BNP,1985/10/7,#N/A N/A,,#N/A Field Not Applicable,NR,PERPETUAL,EUR,FR,N
Amadeus IT Group SA,AMSSM,2020/4/9,1.5,820200000,2025/4/9,BBB-,CONVERTIBLE,EUR,ES,N
US Bancorp,USB,2020/7/20,1.375,1250000000,2030/7/22,A+,CALLABLE,USD,US,N
First Quantum Minerals Ltd,FMCN,2017/3/22,7.25,1600000000,2023/4/1,CCC+,CALLABLE,USD,CA,N
First Abu Dhabi Bank PJSC,FABUH,2020/10/5,4.5,750000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,AE,N
ABN AMRO Bank NV,ABNANV,2020/6/15,4.375,1128540000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,NL,N
MEG Energy Corp,MEGCN,2021/2/2,5.875,600000000,2029/2/1,B-,CALLABLE,USD,CA,N
Natwest Group PLC,NWG,2020/6/29,6,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,GB,N
Coty Inc,COTY,2018/4/5,6.5,550000000,2026/4/15,CCC,CALLABLE,USD,US,N
Twitter Inc,TWTR,2019/12/9,3.875,700000000,2027/12/15,BB,CALLABLE,USD,US,N
Agile Group Holdings Ltd,AGILE,2019/10/31,7.875,500000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,KY,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2019/10/30,8.375,500000000,2024/10/30,B+,CALLABLE,USD,KY,N
Intesa Sanpaolo SpA,ISPIM,2017/1/11,7.75,1319825000,#N/A Field Not Applicable,B+,PERP/CALL,EUR,IT,N
Royal Caribbean Cruises Ltd,RCL,2020/6/9,9.125,1000000000,2023/6/15,B+,CALLABLE,USD,LR,N
Cheniere Energy Inc,LNG,2020/9/22,4.625,2000000000,2028/10/15,BB-,CALLABLE,USD,US,N
National Australia Bank Ltd,NAB,2021/1/14,2.648,1250000000,2041/1/14,BBB+,AT MATURITY,USD,AU,N
Credit Agricole SA,ACAFP,2021/1/11,2.811,1500000000,2041/1/11,BBB+,AT MATURITY,USD,FR,N
easyJet PLC,EZJLN,2016/2/9,1.75,565560000,2023/2/9,BBB-,CALLABLE,EUR,GB,N
Barclays PLC,BACR,2016/8/31,7.875,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,GB,N
Walt Disney Co/The,DIS,2020/5/13,3.6,2750000000,2051/1/13,A-,CALLABLE,USD,US,N
Yandex NV,YNDX,2020/3/3,0.75,1250000000,2025/3/3,#N/A N/A,CONVERTIBLE,USD,NL,N
Shimao Group Holdings Ltd,SHIMAO,2018/10/15,6.375,820000000,2021/10/15,NR,CALLABLE,USD,KY,N
Bancolombia SA,BCOLO,2017/10/18,4.875,750000000,2027/10/18,BB-,CALLABLE,USD,CO,N
Triumph Group Inc,TGI,2019/9/23,6.25,525000000,2024/9/15,CCC-,CALLABLE,USD,US,N
AMC Networks Inc,AMCX,2016/3/30,5,1000000000,2024/4/1,BB-,CALLABLE,USD,US,N
Inter Pipeline Ltd,IPLCN,2019/3/26,6.875,560617500,2079/3/26,BB,CALLABLE,CAD,CA,N
SoftBank Group Corp,SOFTBK,2021/2/4,3,1678512240,2056/2/4,#N/A N/A,CALLABLE,JPY,JP,N
Bank of New York Mellon Corp/The,BK,2020/5/19,4.7,1000000000,#N/A Field Not Applicable,BBB+,PERP/CALL,USD,US,N
Chevron Corp,CVX,2020/5/11,2.236,1500000000,2030/5/11,AA-,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2017/9/29,5.25,1180290000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,ES,N
Intrum AB,INTRUM,2019/9/19,3,938867500,2027/9/15,BB,CALLABLE,EUR,SE,N
Summit Midstream Partners LP,SMLP,2017/11/14,9.5,300000000,#N/A Field Not Applicable,CC+,PERP/CALL,USD,US,N
Mattel Inc,MAT,2010/9/28,6.2,250000000,2040/10/1,B-,AT MATURITY,USD,US,N
Apple Inc,AAPL,2019/9/11,2.95,1500000000,2049/9/11,AA+,CALLABLE,USD,US,N
Prosus NV,PRXNA,2020/12/8,3.832,1500000000,2051/2/8,BBB-,CALLABLE,USD,NL,N
Infineon Technologies AG,IFXGR,2019/10/1,3.625,656274000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,DE,N
NRG Energy Inc,NRG,2017/2/14,7.25,999994000,2026/5/15,BB,CALLABLE,USD,US,N
Dometic Group AB,DOMSS,2019/5/8,3,335664000,2026/5/8,BB-,CALLABLE,EUR,SE,N
Orsted AS,ORSTED,2017/11/24,2.25,596380000,3017/11/24,BB+,CALLABLE,EUR,DK,Y
Lumen Technologies Inc,LUMN,2012/3/12,5.8,1400000000,2022/3/15,B+,AT MATURITY,USD,US,N
KWG Group Holdings Ltd,KWGPRO,2020/1/13,7.4,300000000,2027/1/13,NR,CALLABLE,USD,KY,N
Renault SA,RENAUL,2017/3/8,1,790245000,2023/3/8,BB,CALLABLE,EUR,FR,N
GFL Environmental Inc,GFLCN,2020/11/23,4,500000000,2028/8/1,B-,CALLABLE,USD,CA,N
Becton Dickinson and Co,BDX,2016/12/9,1.9,527000000,2026/12/15,BBB-,CALLABLE,EUR,US,N
Central China Real Estate Ltd,CENCHI,2019/8/8,6.875,300000000,2022/8/8,B+,CALLABLE,USD,KY,N
UBS Group AG,UBS,2019/8/13,3.126,1500000000,2030/8/13,A,CALLABLE,USD,CH,N
Bank of China Ltd,BCHINA,2020/3/4,3.6,2820000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,CN,N
Tata Motors Ltd,TTMTIN,2014/10/30,5.75,250000000,2024/10/30,B,AT MATURITY,USD,IN,N
United Parcel Service Inc,UPS,2020/3/24,5.3,1250000000,2050/4/1,A-,CALLABLE,USD,US,N
Centene Corp,CNC,2020/5/6,4.625,3500000000,2029/12/15,BB+,CALLABLE,USD,US,N
Halyk Savings Bank of Kazakhstan JSC,HSBKKZ,2012/12/21,5.5,750000000,2022/12/21,BB,CALLABLE,USD,KZ,N
Citigroup Inc,C,2016/8/26,1.65538,2000000000,2023/9/1,A-,CALLABLE,USD,US,N
Netflix Inc,NFLX,2020/4/28,3,509094600,2025/6/15,BB,CALLABLE,EUR,US,N
OMV AG,OMVAV,2015/12/7,6.25,813840000,#N/A Field Not Applicable,BBB,PERP/CALL,EUR,AT,N
BDO Unibank Inc,BDOPM,2020/7/13,2.125,600000000,2026/1/13,NR,AT MATURITY,USD,PH,N
Monroe Capital Corp,MRCC,2021/1/25,4.75,130000000,2026/2/15,#N/A N/A,CALLABLE,USD,US,N
Credit Suisse Group AG,CS,2020/8/11,5.25,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,CH,N
Morgan Stanley,MS,2017/4/24,1.41263,1750000000,2024/5/8,A,CALLABLE,USD,US,N
Nabors Industries Ltd,NBR,2020/1/10,7.25,600000000,2026/1/15,CCC,CALLABLE,USD,BM,N
Grupo Posadas SAB de CV,POSADA,2015/6/30,7.875,400000000,2022/6/30,DDD,CALLABLE,USD,MX,N
Suncorp-Metway Ltd,SUNAU,2021/2/24,0.47,590482500,2026/2/24,A+,AT MATURITY,AUD,AU,N
Continental Resources Inc/OK,CLR,2018/5/23,4.375,999700000,2028/1/15,BB+,CALLABLE,USD,US,N
Banca Monte dei Paschi di Siena SpA,MONTE,2020/9/10,8.5,355728000,2030/9/10,CCC+,CALLABLE,EUR,IT,N
Accentro Real Estate AG,ESSGR,2020/2/13,3.625,271060000,2023/2/13,#N/A N/A,AT MATURITY,EUR,DE,N
First Quantum Minerals Ltd,FMCN,2017/3/22,7.5,1350000000,2025/4/1,CCC+,CALLABLE,USD,CA,N
Royal Bank of Canada,RY,2021/1/19,0.425,1000000000,2024/1/19,A+,AT MATURITY,USD,CA,N
Electricite de France SA,EDF,2019/12/9,2,1382112500,2049/12/9,BBB+,CALLABLE,EUR,FR,N
Adani Ports & Special Economic Zone Ltd,ADSEZ,2017/1/19,3.95,500000000,2022/1/19,BBB-,AT MATURITY,USD,IN,N
Nordstrom Inc,JWN,1998/3/16,6.95,300000000,2028/3/15,BB+,AT MATURITY,USD,US,N
Hope Bancorp Inc,HOPE,2018/5/11,2,217500000,2038/5/15,#N/A N/A,CONV/PUT/CALL,USD,US,N
Superior Industries International Inc,SUP,2017/6/15,6,278707500,2025/6/15,CCC+,CALLABLE,EUR,US,N
Rizal Commercial Banking Corp,RCBPM,2020/8/27,6.5,300000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,PH,N
Raiffeisen Bank International AG,RBIAV,2017/7/5,6.125,736996000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,AT,N
Petroleos del Peru SA,PETRPE,2017/6/19,4.75,1000000000,2032/6/19,BBB,AT MATURITY,USD,PE,N
Avianca Holdings SA,PFAVH,2020/10/13,11,367882655.3,2021/11/10,#N/A N/A,AT MATURITY,USD,PA,N
KWG Group Holdings Ltd,KWGPRO,2017/3/15,6,650000000,2022/9/15,B+,CALLABLE,USD,KY,N
Bombardier Inc,BBDBCN,2010/11/2,6.125,1094792400,2021/5/15,CCC-,AT MATURITY,EUR,CA,N
Credit Agricole SA,ACAFP,2005/2/4,0,773190000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,FR,N
Credit Suisse Group AG,CS,2016/11/16,4.55,1982535000,2026/4/17,BBB+,AT MATURITY,USD,CH,N
Wells Fargo & Co,WFC,2020/4/30,2.188,3000000000,2026/4/30,A,CALLABLE,USD,US,N
Cellnex Telecom SA,CLNXSM,2016/8/10,2.375,837502500,2024/1/16,BB+,CALLABLE,EUR,ES,N
AT&T Inc,T,2020/9/18,3.65,6500001000,2059/9/15,BBB,CALLABLE,USD,US,N
Geely Automobile Holdings Ltd,GEELY,2019/12/9,4,500000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,KY,N
Chesapeake Energy Corp,CHK,2018/9/27,7,850000000,2024/10/1,NR,CALLABLE,USD,US,N
Staples Inc,SPLS,2019/4/16,10.75,1000000000,2027/4/15,CCC+,CALLABLE,USD,US,N
ASGN Inc,ASGN,2019/11/22,4.625,550000000,2028/5/15,BB-,CALLABLE,USD,US,N
CAR Inc,CARINC,2019/5/10,8.875,372333000,2022/5/10,CCC+,AT MATURITY,USD,KY,N
International Business Machines Corp,IBM,2020/5/7,1.7,1250000000,2027/5/15,A,CALLABLE,USD,US,N
Freeport-McMoRan Inc,FCX,2019/8/15,5,600000000,2027/9/1,BB,CALLABLE,USD,US,N
Vodafone Group PLC,VOD,2018/10/3,6.25,1300000000,2078/10/3,BB+,CALLABLE,USD,GB,N
L Brands Inc,LB,2019/6/20,7.5,500000000,2029/6/15,B,CALLABLE,USD,US,N
Duke Energy Corp,DUK,2020/5/15,2.45,850000000,2030/6/1,BBB,CALLABLE,USD,US,N
Times China Holdings Ltd,TPHL,2019/2/21,7.625,500000000,2022/2/21,B+,CALLABLE,USD,KY,N
Cellnex Telecom SA,CLNXSM,2018/1/16,1.5,979488000,2026/1/16,NR,CONVERTIBLE,EUR,ES,N
Lennar Corp,LEN,2018/6/11,4.75,899770000,2027/11/29,BB+,CALLABLE,USD,US,N
Powerlong Real Estate Holdings Ltd,PWRLNG,2020/8/10,6.25,350000000,2024/8/10,B,CALLABLE,USD,KY,N
Ecopetrol SA,ECOPET,2014/9/16,4.125,1200000000,2025/1/16,BBB-,AT MATURITY,USD,CO,N
HSBC Holdings PLC,HSBC,2017/7/4,4.75,1418900000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,GB,N
Banco Comercial Portugues SA,BCPPL,2019/1/31,9.25,458004000,#N/A Field Not Applicable,B-,PERP/CALL,EUR,PT,N
SEPLAT Petroleum Development Co Plc,SEPLLN,2018/3/21,9.25,350000000,2023/4/1,B-,CALLABLE,USD,NG,N
Turkiye Is Bankasi AS,ISCTR,2012/10/24,6,1000000000,2022/10/24,CCC+,AT MATURITY,USD,TR,N
Ares Capital Corp,ARCC,2020/7/15,3.875,1150000000,2026/1/15,BBB-,CALLABLE,USD,US,N
MPLX LP,MPLX,2019/7/31,6.875,600000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Walgreens Boots Alliance Inc,WBA,2014/11/18,3.8,2000000000,2024/11/18,BBB-,CALLABLE,USD,US,N
AXA SA,AXASA,2016/9/15,4.5,850000000,#N/A Field Not Applicable,BBB+,PERP/CALL,USD,FR,N
Deutsche Bank AG,DB,2020/1/20,1.625,1662525000,2027/1/20,BBB-,AT MATURITY,EUR,DE,N
Wells Fargo & Co,WFC,2020/3/30,4.478,2500000000,2031/4/4,A,CALLABLE,USD,US,N
Alphabet Inc,GOOGL,2020/8/5,1.9,1250000000,2040/8/15,AA,CALLABLE,USD,US,N
Halliburton Co,HAL,2020/3/3,2.92,1000000000,2030/3/1,BBB+,CALLABLE,USD,US,N
Victoria PLC,VCPLN,2019/7/26,5.25,556090000,2024/7/15,BB-,CALLABLE,EUR,GB,N
Northrop Grumman Corp,NOC,2017/10/13,2.55,1500000000,2022/10/15,BBB,CALLABLE,USD,US,N
Prudential Financial Inc,PRU,2020/8/21,3.7,800000000,2050/10/1,BBB,CALLABLE,USD,US,N
Geopark Ltd,GEOPAR,2020/1/17,5.5,350000000,2027/1/17,B+,CALLABLE,USD,BM,N
TEGNA Inc,TGNA,2019/9/13,5,1100000000,2029/9/15,BB-,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2006/11/29,4.875,1364090000,2035/11/29,BBB+,AT MATURITY,GBP,US,N
Cellnex Telecom SA,CLNXSM,2017/1/18,2.875,534155000,2025/4/18,BB+,CALLABLE,EUR,ES,N
Oracle Corp,ORCL,2020/4/1,2.5,3500000000,2025/4/1,A-,CALLABLE,USD,US,N
Renault SA,RENAUL,1983/10/24,#N/A N/A,,#N/A Field Not Applicable,NR,PERP/CALL,EUR,FR,N
Akamai Technologies Inc,AKAM,2018/5/21,0.125,1150000000,2025/5/1,#N/A N/A,CONVERTIBLE,USD,US,N
Merck & Co Inc,MRK,2020/6/24,1.45,1250000000,2030/6/24,A+,CALLABLE,USD,US,N
Tenet Healthcare Corp,THC,2017/6/14,7,500000000,2025/8/1,CCC+,CALLABLE,USD,US,N
Intesa Sanpaolo SpA,ISPIM,2018/3/20,1.75,1532700000,2028/3/20,BBB,AT MATURITY,EUR,IT,N
Cleveland-Cliffs Inc,CLF,2017/12/19,4.875,400000000,2024/1/15,B+,CALLABLE,USD,US,N
Iliad SA,ILDFP,2018/4/25,1.875,792038000,2025/4/25,#N/A N/A,CALLABLE,EUR,FR,N
SK Innovation Co Ltd,SKENER,2018/7/13,4.125,500000000,2023/7/13,BB+,AT MATURITY,USD,KR,N
BlackRock TCP Capital Corp,TCPC,2019/8/23,3.9,250000000,2024/8/23,BBB-,AT MATURITY,USD,US,N
Exxon Mobil Corp,XOM,2020/3/19,2.992,2750000000,2025/3/19,AA,CALLABLE,USD,US,N
Las Vegas Sands Corp,LVS,2019/7/31,3.2,1750000000,2024/8/8,BBB-,CALLABLE,USD,US,N
Svenska Handelsbanken AB,SHBASS,2020/12/2,0.01,604670000,2027/12/2,A,AT MATURITY,EUR,SE,Y
DO & CO AG,DOCOTI,2021/1/28,1.75,121251000,2026/1/28,#N/A N/A,CONVERTIBLE,EUR,AT,N
JPMorgan Chase & Co,JPM,2020/11/19,1.045,2750000000,2026/11/19,A,CALLABLE,USD,US,N
Aker BP ASA,AKERBP,2020/9/30,4,750000000,2031/1/15,BBB-,CALLABLE,USD,NO,N
CONSOL Energy Inc,CEIX,2017/11/13,11,300000000,2025/11/15,CCC,CALLABLE,USD,US,N
Costco Wholesale Corp,COST,2020/4/20,1.6,1750000000,2030/4/20,A+,CALLABLE,USD,US,N
Mediobanca Banca di Credito Finanziario SpA,BACRED,2015/9/10,3,563170000,2025/9/10,BB,AT MATURITY,EUR,IT,N
Credit Suisse Group AG,CS,2018/9/12,7.25,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,CH,N
Goldman Sachs Group Inc/The,GS,2016/10/28,1.9685,1000000000,2027/10/28,A-,CALLABLE,USD,US,N
Centrais Eletricas Brasileiras SA,ELEBRA,2020/2/4,3.625,500000000,2025/2/4,BB-,AT MATURITY,USD,BR,N
Sunac China Holdings Ltd,SUNAC,2018/4/19,8.35,650000000,2023/4/19,B+,CALLABLE,USD,KY,N
Bilfinger SE,GBFGR,2019/6/14,5.75,280217500,2024/6/14,NR,CALLABLE,EUR,DE,N
Sunac China Holdings Ltd,SUNAC,2019/6/14,7.25,600000000,2022/6/14,B+,CALLABLE,USD,KY,N
Avon Products Inc,AVP,2013/3/12,8.95,250000000,2043/3/15,B+,AT MATURITY,USD,US,N
WEC Energy Group Inc,WEC,2007/5/11,2.30625,500000000,2067/5/15,BBB-,CALLABLE,USD,US,N
Walt Disney Co/The,DIS,2020/3/23,3.8,1250000000,2030/3/22,A-,AT MATURITY,USD,US,N
Metro Bank PLC,MTROLN,2018/6/26,5.5,330697500,2028/6/26,NR,CALLABLE,GBP,GB,N
Mowi ASA,MOWINO,2020/1/31,1.6,221658000,2025/1/31,#N/A N/A,CALLABLE,EUR,NO,Y
Infineon Technologies AG,IFXGR,2019/10/1,2.875,656274000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,DE,N
Crown Castle International Corp,CCI,2020/6/15,3.25,900000000,2051/1/15,BBB-,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2020/5/13,2.956,3000000000,2031/5/13,A-,CALLABLE,USD,US,N
Southwest Airlines Co,LUV,2020/2/10,2.625,500000000,2030/2/10,BBB,CALLABLE,USD,US,N
Ecopetrol SA,ECOPET,2013/9/18,5.875,1800000000,2023/9/18,BBB-,AT MATURITY,USD,CO,N
Diamond Offshore Drilling Inc,DOFSQ,2013/11/5,4.875,750000000,2043/11/1,NR,CALLABLE,USD,US,N
Teck Resources Ltd,TCKBCN,2011/7/5,6.25,1000000000,2041/7/15,BBB-,CALLABLE,USD,CA,N
salesforce.com Inc,CRM,2018/4/11,3.7,1500000000,2028/4/11,A,CALLABLE,USD,US,N
UDR Inc,UDR,2020/7/21,2.1,400000000,2032/8/1,BBB+,CALLABLE,USD,US,N
Intesa Sanpaolo SpA,ISPIM,2017/9/26,1.36,852677814,2024/9/26,#N/A N/A,AT MATURITY,EUR,IT,N
Fresnillo PLC,FRESLN,2020/10/2,4.25,850000000,2050/10/2,BBB,CALLABLE,USD,GB,N
AT&T Inc,T,2015/5/4,4.5,2500000000,2035/5/15,BBB,CALLABLE,USD,US,N
China Development Bank Financial Leasing Co Ltd,CDBFLC,2020/9/28,2.875,700000000,2030/9/28,BBB+,CALLABLE,USD,CN,N
361 Degrees International Ltd,DEGREE,2016/6/3,7.25,400000000,2021/6/3,B-,CALLABLE,USD,KY,N
Vinci SA,DGFP,2017/2/16,0.375,725000000,2022/2/16,A-,CONVERTIBLE,USD,FR,N
Manila Water Co Inc,MWCPM,2020/7/30,4.375,500000000,2030/7/30,#N/A N/A,CALLABLE,USD,PH,N
Kaisa Group Holdings Ltd,KAISAG,2020/1/15,10.5,500000000,2025/1/15,B,CALLABLE,USD,KY,N
Danone SA,BNFP,2017/10/30,1.75,1453787500,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,FR,N
Morgan Stanley,MS,2020/1/22,0.73611,2500000000,2023/1/20,A,CALLABLE,USD,US,N
Public Storage,PSA,2021/1/19,0.875,500000000,2026/2/15,A,CALLABLE,USD,US,N
Muthoot Finance Ltd,MUTHIN,2020/3/2,4.4,550000000,2023/9/2,BB,AT MATURITY,USD,IN,N
National Bank of Oman SAOG,NBOBOM,2015/11/18,6.6512,300000000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,USD,OM,N
Raiffeisen Bank International AG,RBIAV,2020/7/29,6,588680000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,AT,N
Barclays PLC,BACR,2016/1/12,4.375,2500000000,2026/1/12,BBB+,AT MATURITY,USD,GB,N
Credit Agricole SA,ACAFP,2021/1/26,1.247,1500000000,2027/1/26,A-,CALLABLE,USD,FR,N
Hansoh Pharmaceutical Group Co Ltd,HSPGCL,2021/1/22,0,600000000,2026/1/22,#N/A N/A,CONV/PUT,USD,KY,N
Grupo Bimbo SAB de CV,BIMBOA,2018/4/17,5.95,500000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,MX,N
HSBC Holdings PLC,HSBC,2010/3/29,6,1346724000,2040/3/29,BBB+,AT MATURITY,GBP,GB,N
Nordea Bank Abp,NDASS,2017/11/28,3.5,890227500,#N/A Field Not Applicable,BBB,PERP/CALL,EUR,FI,N
Deutsche Bank AG,DB,2016/5/19,4.5,840615000,2026/5/19,BB,AT MATURITY,EUR,DE,N
Resolute Forest Products Inc,RFP,2021/2/2,4.875,300000000,2026/3/1,B,CALLABLE,USD,US,N
Bally's Corp,BALY,2019/5/10,6.75,525000000,2027/6/1,CCC+,CALLABLE,USD,US,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2019/1/23,8.625,500000000,2022/1/23,B+,AT MATURITY,USD,KY,N
Banca Monte dei Paschi di Siena SpA,MONTE,2019/9/24,3.625,826087500,2024/9/24,B-,AT MATURITY,EUR,IT,N
Morgan Stanley,MS,2016/10/24,1.61775,2500000000,2023/10/24,A,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2014/7/8,3.85,2250000000,2024/7/8,A-,CALLABLE,USD,US,N
Kaisa Group Holdings Ltd,KAISAG,2019/4/9,11.25,550000000,2022/4/9,NR,CALLABLE,USD,KY,N
Southern Copper Corp,SCCO,2012/11/8,5.25,1200000000,2042/11/8,BBB,AT MATURITY,USD,US,N
Twitter Inc,TWTR,2019/12/9,3.875,700000000,2027/12/15,BB,CALLABLE,USD,US,N
Bank of America Corp,BAC,2013/5/29,5.2,1000000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Tencent Music Entertainment Group,TME,2020/9/3,2,500000000,2030/9/3,A,CALLABLE,USD,KY,N
Infrastrutture Wireless Italiane SpA,INWIM,2020/7/8,1.875,1133600000,2026/7/8,BB+,CALLABLE,EUR,IT,N
FS KKR Capital Corp,FSK,2015/4/30,4.75,450000000,2022/5/15,BBB-,CALLABLE,USD,US,N
Eurofins Scientific SE,ERFFP,2017/11/13,3.25,466508000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,LU,N
TMX Group Ltd,XCN,2021/2/12,2.016,197005750,2031/2/12,NR,CALLABLE,CAD,CA,N
UniCredit SpA,UCGIM,2016/6/3,4.375,849480000,2027/1/3,BB+,CALLABLE,EUR,IT,N
Wells Fargo & Co,WFC,2020/3/30,5.013,5500000000,2051/4/4,A,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2020/9/16,0.653,1000000000,2024/9/16,A,CALLABLE,USD,US,Y
Commercial Metals Co,CMC,2019/1/15,5.75,350000000,2026/4/15,BB,CALLABLE,USD,US,N
Apple Inc,AAPL,2016/2/23,4.65,4000000000,2046/2/23,AA+,CALLABLE,USD,US,N
Morgan Stanley,MS,2020/12/10,0.985,2500000000,2026/12/10,A,CALLABLE,USD,US,N
Nokia Oyj,NOKIA,2019/3/11,2,843135000,2026/3/11,BB+,CALLABLE,EUR,FI,N
General Electric Co,GE,2015/12/3,4.2,1094100000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Deutsche Bank AG,DB,2019/2/12,2.625,849000000,2026/2/12,BBB-,AT MATURITY,EUR,DE,N
Wells Fargo & Co,WFC,2015/1/23,5.875,2000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Centrais Eletricas Brasileiras SA,ELEBRA,2011/10/27,5.75,1750000000,2021/10/27,BB-,AT MATURITY,USD,BR,N
China Hongqiao Group Ltd,HONGQI,2019/10/2,7.375,200000000,2023/5/2,B+,AT MATURITY,USD,KY,N
Atlantia SpA,ATLIM,2017/2/3,1.625,808770000,2025/2/3,BB-,AT MATURITY,EUR,IT,N
Mediobanca Banca di Credito Finanziario SpA,BACRED,2019/1/25,1.9,749777040.1,2024/1/25,BBB-,AT MATURITY,EUR,IT,N
DISH Network Corp,DISH,2017/3/17,2.375,1000000000,2024/3/15,B-,CONVERTIBLE,USD,US,N
Sampo Oyj,SAMPFH,2020/9/3,2.5,1183350000,2052/9/3,BBB+,CALLABLE,EUR,FI,N
Howmet Aerospace Inc,HWM,2014/9/22,5.125,1250000000,2024/10/1,BB,CALLABLE,USD,US,N
General Motors Co,GM,2016/2/23,6.6,1250000000,2036/4/1,BBB-,CALLABLE,USD,US,N
Verizon Communications Inc,VZ,2013/9/18,5.15,11000000000,2023/9/15,BBB+,AT MATURITY,USD,US,N
Air France-KLM,AFFP,2014/6/18,3.875,814482000,2021/6/18,#N/A N/A,AT MATURITY,EUR,FR,N
Bank of America Corp,BAC,2019/6/20,5.125,1000000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Morgan Stanley,MS,2021/1/25,0.529,3000000000,2024/1/25,A,CALLABLE,USD,US,N
Commercial Metals Co,CMC,2021/2/2,3.875,300000000,2031/2/15,BB,CALLABLE,USD,US,N
Banco BPM SpA,BAMIIM,2019/4/18,8.75,336894000,#N/A Field Not Applicable,B-,PERP/CALL,EUR,IT,N
